library_id,fastq_path,read,pair_id,type
140543,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F12_1.fastq.gz,R1,P1,hashed_cdna
140543,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F12_2.fastq.gz,R2,P1,hashed_cdna
140543,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F12_1.fastq.gz,R1,P2,hashed_cdna
140543,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F12_2.fastq.gz,R2,P2,hashed_cdna
140544,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-G12_1.fastq.gz,R1,P3,hashed_cdna
140544,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-G12_2.fastq.gz,R2,P3,hashed_cdna
140544,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-G12_1.fastq.gz,R1,P4,hashed_cdna
140544,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-G12_2.fastq.gz,R2,P4,hashed_cdna
140544,/scratch/project/production/fastq/HG3NLDRXX/1/fastq/HG3NLDRXX_1_SI-GA-G12_1.fastq.gz,R1,P5,hashed_cdna
140544,/scratch/project/production/fastq/HG3NLDRXX/1/fastq/HG3NLDRXX_1_SI-GA-G12_2.fastq.gz,R2,P5,hashed_cdna
140544,/scratch/project/production/fastq/HG3NLDRXX/2/fastq/HG3NLDRXX_2_SI-GA-G12_1.fastq.gz,R1,P6,hashed_cdna
140544,/scratch/project/production/fastq/HG3NLDRXX/2/fastq/HG3NLDRXX_2_SI-GA-G12_2.fastq.gz,R2,P6,hashed_cdna
140545,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-H12_1.fastq.gz,R1,P7,hashed_cdna
140545,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-H12_2.fastq.gz,R2,P7,hashed_cdna
140545,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-H12_1.fastq.gz,R1,P8,hashed_cdna
140545,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-H12_2.fastq.gz,R2,P8,hashed_cdna
140545,/scratch/project/production/fastq/HG3NLDRXX/1/fastq/HG3NLDRXX_1_SI-GA-H12_1.fastq.gz,R1,P9,hashed_cdna
140545,/scratch/project/production/fastq/HG3NLDRXX/1/fastq/HG3NLDRXX_1_SI-GA-H12_2.fastq.gz,R2,P9,hashed_cdna
140545,/scratch/project/production/fastq/HG3NLDRXX/2/fastq/HG3NLDRXX_2_SI-GA-H12_1.fastq.gz,R1,P10,hashed_cdna
140545,/scratch/project/production/fastq/HG3NLDRXX/2/fastq/HG3NLDRXX_2_SI-GA-H12_2.fastq.gz,R2,P10,hashed_cdna
140546,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-E12_1.fastq.gz,R1,P11,hashed_cdna
140546,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-E12_2.fastq.gz,R2,P11,hashed_cdna
140546,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-E12_1.fastq.gz,R1,P12,hashed_cdna
140546,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-E12_2.fastq.gz,R2,P12,hashed_cdna
140547,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F11_1.fastq.gz,R1,P13,hashed_cdna
140547,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F11_2.fastq.gz,R2,P13,hashed_cdna
140547,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F11_1.fastq.gz,R1,P14,hashed_cdna
140547,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F11_2.fastq.gz,R2,P14,hashed_cdna
140548,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-G11_1.fastq.gz,R1,P15,hashed_cdna
