project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_10	140543	ICGC_365	AN6707	AN6707	3482	Other	None	HCY2YDRXX	1	SI-GA-F12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140543	ICGC_365	AN6707	AN6707	3482	Other	None	HCY2YDRXX	2	SI-GA-F12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140544	ICGC_019_01	AN6708	AN6708	3482	Other	None	HCY2YDRXX	1	SI-GA-G12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140544	ICGC_019_01	AN6708	AN6708	3482	Other	None	HCY2YDRXX	2	SI-GA-G12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140544	ICGC_019_01	AN6708	AN6708	3482	Other	None	HG3NLDRXX	1	SI-GA-G12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140544	ICGC_019_01	AN6708	AN6708	3482	Other	None	HG3NLDRXX	2	SI-GA-G12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140545	ICGC_019_02	AN6709	AN6709	3482	Other	None	HCY2YDRXX	1	SI-GA-H12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140545	ICGC_019_02	AN6709	AN6709	3482	Other	None	HCY2YDRXX	2	SI-GA-H12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140545	ICGC_019_02	AN6709	AN6709	3482	Other	None	HG3NLDRXX	1	SI-GA-H12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140545	ICGC_019_02	AN6709	AN6709	3482	Other	None	HG3NLDRXX	2	SI-GA-H12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140546	ICGC_012_01	AN6710	AN6710	3482	Other	None	HCY2YDRXX	1	SI-GA-E12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140546	ICGC_012_01	AN6710	AN6710	3482	Other	None	HCY2YDRXX	2	SI-GA-E12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140547	ICGC_012_02	AN6711	AN6711	3482	Other	None	HCY2YDRXX	1	SI-GA-F11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140547	ICGC_012_02	AN6711	AN6711	3482	Other	None	HCY2YDRXX	2	SI-GA-F11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140548	ICGC_3299_01	AN6712	AN6712	3482	Other	None	HCY2YDRXX	1	SI-GA-G11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140548	ICGC_3299_01	AN6712	AN6712	3482	Other	None	HCY2YDRXX	2	SI-GA-G11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140548	ICGC_3299_01	AN6712	AN6712	3482	Other	None	HG3NLDRXX	1	SI-GA-G11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140548	ICGC_3299_01	AN6712	AN6712	3482	Other	None	HG3NLDRXX	2	SI-GA-G11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140549	ICGC_3299_02	AN6713	AN6713	3482	Other	None	HCY2YDRXX	1	SI-GA-H11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140549	ICGC_3299_02	AN6713	AN6713	3482	Other	None	HCY2YDRXX	2	SI-GA-H11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140550	ICGC_365_HTO	AN6714	AN6714	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD701	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140550	ICGC_365_HTO	AN6714	AN6714	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD701	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140551	ICGC_019_01_HTO	AN6715	AN6715	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD702	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140551	ICGC_019_01_HTO	AN6715	AN6715	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD702	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140552	ICGC_019_02_HTO	AN6716	AN6716	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD703	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140552	ICGC_019_02_HTO	AN6716	AN6716	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD703	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140553	ICGC_012_01_HTO	AN6717	AN6717	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD704	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140553	ICGC_012_01_HTO	AN6717	AN6717	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD704	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140554	ICGC_012_02_HTO	AN6718	AN6718	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD705	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140554	ICGC_012_02_HTO	AN6718	AN6718	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD705	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140555	ICGC_3299_01_HTO	AN6719	AN6719	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD706	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140555	ICGC_3299_01_HTO	AN6719	AN6719	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD706	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140556	ICGC_3299_02_HTO	AN6720	AN6720	3482	Other	None	HCY2YDRXX	1	IlluminaTruSeqD707	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_10	140556	ICGC_3299_02_HTO	AN6720	AN6720	3482	Other	None	HCY2YDRXX	2	IlluminaTruSeqD707	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	0.005	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
