library_id,plate
AF9462,P2460
AF9463,P2460
AF9464,P2460
AF9465,P2460
AF9466,P2460
AF9467,P2460
AF9468,P2460
AF9469,P2460
AF9470,P2460
AF9471,P2460
AF9472,P2460
AF9473,P2460
AF9474,P2460
AF9475,P2460
AF9476,P2460
AF9477,P2460
AF9478,P2460
AF9479,P2460
AF9480,P2460
AF9481,P2460
AF9482,P2460
AF9483,P2460
AF9484,P2460
AF9485,P2460
AF9486,P2460
AF9487,P2460
AF9488,P2460
AF9489,P2460
AF9490,P2460
AF9491,P2460
AF9492,P2460
AF9493,P2460
AF9494,P2460
AF9495,P2460
AF9496,P2460
AF9497,P2460
AF9498,P2460
AF9499,P2460
AF9500,P2460
AF9501,P2460
AF9502,P2460
AF9503,P2460
AF9504,P2460
AF9505,P2460
AF9506,P2460
AF9507,P2460
AF9508,P2460
AF9509,P2460
AF9510,P2460
AF9511,P2460
AF9512,P2460
AF9513,P2460
AF9514,P2460
AF9515,P2460
AF9516,P2460
AF9517,P2460
AF9518,P2460
AF9519,P2460
AF9520,P2460
AF9521,P2460
AF9522,P2460
AF9523,P2460
AF9524,P2460
AF9525,P2460
AF9526,P2460
AF9527,P2460
AF9528,P2460
AF9529,P2460
AF9530,P2460
AF9531,P2460
AF9532,P2460
AF9533,P2460
AF9534,P2460
AF9535,P2460
AF9536,P2460
AF9537,P2460
AF9538,P2460
AF9539,P2460
AF9540,P2460
AF9541,P2460
AF9542,P2460
AF9543,P2460
AF9544,P2460
AF9545,P2460
AF9546,P2460
AF9547,P2460
AF9548,P2460
AF9549,P2460
AF9550,P2460
AF9551,P2460
AF9552,P2460
AF9553,P2460
AF9554,P2460
AF9555,P2460
AF9556,P2460
AF9557,P2460
AF9558,P2461
AF9559,P2461
AF9560,P2461
AF9561,P2461
AF9562,P2461
AF9563,P2461
AF9564,P2461
AF9565,P2461
AF9566,P2461
AF9567,P2461
AF9568,P2461
AF9569,P2461
AF9570,P2461
AF9571,P2461
AF9572,P2461
AF9573,P2461
AF9574,P2461
AF9575,P2461
AF9576,P2461
AF9577,P2461
AF9578,P2461
