r1	r2	sample	BC
CLL_05-599_S101_L001_R1_001.fastq.gz	CLL_05-599_S101_L001_R2_001.fastq.gz	CLL_05-599_S101_L001	YHMDEQYH
CLL_05-599_S101_L006_R1_001.fastq.gz	CLL_05-599_S101_L006_R2_001.fastq.gz	CLL_05-599_S101_L006	HQDHBJNA
CLL_05-599_S103_L001_R1_001.fastq.gz	CLL_05-599_S103_L001_R2_001.fastq.gz	CLL_05-599_S103_L001	HKBNJYAD
CLL_05-599_S103_L007_R1_001.fastq.gz	CLL_05-599_S103_L007_R2_001.fastq.gz	CLL_05-599_S103_L007	FGNNSBND
CLL_05-599_S105_L001_R1_001.fastq.gz	CLL_05-599_S105_L001_R2_001.fastq.gz	CLL_05-599_S105_L001	WDMKZVCM
CLL_05-599_S105_L006_R1_001.fastq.gz	CLL_05-599_S105_L006_R2_001.fastq.gz	CLL_05-599_S105_L006	YZPGAJGA
CLL_05-599_S106_L007_R1_001.fastq.gz	CLL_05-599_S106_L007_R2_001.fastq.gz	CLL_05-599_S106_L007	MHROLKJQ
CLL_05-599_S107_L006_R1_001.fastq.gz	CLL_05-599_S107_L006_R2_001.fastq.gz	CLL_05-599_S107_L006	DQCIECGM
CLL_05-599_S107_L007_R1_001.fastq.gz	CLL_05-599_S107_L007_R2_001.fastq.gz	CLL_05-599_S107_L007	AJGSAYZN
CLL_05-599_S10_L007_R1_001.fastq.gz	CLL_05-599_S10_L007_R2_001.fastq.gz	CLL_05-599_S10_L007	ARVWISVK
CLL_05-599_S110_L006_R1_001.fastq.gz	CLL_05-599_S110_L006_R2_001.fastq.gz	CLL_05-599_S110_L006	PPGQPQQV
CLL_05-599_S111_L001_R1_001.fastq.gz	CLL_05-599_S111_L001_R2_001.fastq.gz	CLL_05-599_S111_L001	LSZVQLJH
CLL_05-599_S113_L001_R1_001.fastq.gz	CLL_05-599_S113_L001_R2_001.fastq.gz	CLL_05-599_S113_L001	CQWSTLIP
CLL_05-599_S113_L006_R1_001.fastq.gz	CLL_05-599_S113_L006_R2_001.fastq.gz	CLL_05-599_S113_L006	TNSBHBOE
CLL_05-599_S114_L001_R1_001.fastq.gz	CLL_05-599_S114_L001_R2_001.fastq.gz	CLL_05-599_S114_L001	IPIPVTDB
CLL_05-599_S114_L007_R1_001.fastq.gz	CLL_05-599_S114_L007_R2_001.fastq.gz	CLL_05-599_S114_L007	DGPQRBNL
CLL_05-599_S116_L001_R1_001.fastq.gz	CLL_05-599_S116_L001_R2_001.fastq.gz	CLL_05-599_S116_L001	YPBUJBNM
CLL_05-599_S118_L007_R1_001.fastq.gz	CLL_05-599_S118_L007_R2_001.fastq.gz	CLL_05-599_S118_L007	SPSOJFZF
CLL_05-599_S11_L001_R1_001.fastq.gz	CLL_05-599_S11_L001_R2_001.fastq.gz	CLL_05-599_S11_L001	OCZIGZVB
CLL_05-599_S121_L001_R1_001.fastq.gz	CLL_05-599_S121_L001_R2_001.fastq.gz	CLL_05-599_S121_L001	NEWWFQTG
CLL_05-599_S121_L006_R1_001.fastq.gz	CLL_05-599_S121_L006_R2_001.fastq.gz	CLL_05-599_S121_L006	OYJRHCWV
CLL_05-599_S123_L007_R1_001.fastq.gz	CLL_05-599_S123_L007_R2_001.fastq.gz	CLL_05-599_S123_L007	POONDTJV
CLL_05-599_S124_L006_R1_001.fastq.gz	CLL_05-599_S124_L006_R2_001.fastq.gz	CLL_05-599_S124_L006	OKESYEOE
CLL_05-599_S127_L006_R1_001.fastq.gz	CLL_05-599_S127_L006_R2_001.fastq.gz	CLL_05-599_S127_L006	ARNCSRTD
CLL_05-599_S128_L007_R1_001.fastq.gz	CLL_05-599_S128_L007_R2_001.fastq.gz	CLL_05-599_S128_L007	AXIDCBMF
CLL_05-599_S129_L006_R1_001.fastq.gz	CLL_05-599_S129_L006_R2_001.fastq.gz	CLL_05-599_S129_L006	VFUIHSBW
CLL_05-599_S12_L006_R1_001.fastq.gz	CLL_05-599_S12_L006_R2_001.fastq.gz	CLL_05-599_S12_L006	XEBLGIRH
CLL_05-599_S130_L006_R1_001.fastq.gz	CLL_05-599_S130_L006_R2_001.fastq.gz	CLL_05-599_S130_L006	SWFSANWR
CLL_05-599_S130_L007_R1_001.fastq.gz	CLL_05-599_S130_L007_R2_001.fastq.gz	CLL_05-599_S130_L007	MNFUQCRZ
CLL_05-599_S132_L006_R1_001.fastq.gz	CLL_05-599_S132_L006_R2_001.fastq.gz	CLL_05-599_S132_L006	BLHJWJTR
CLL_05-599_S133_L006_R1_001.fastq.gz	CLL_05-599_S133_L006_R2_001.fastq.gz	CLL_05-599_S133_L006	REBIUPAD
CLL_05-599_S133_L007_R1_001.fastq.gz	CLL_05-599_S133_L007_R2_001.fastq.gz	CLL_05-599_S133_L007	HFBVTZTJ
CLL_05-599_S134_L001_R1_001.fastq.gz	CLL_05-599_S134_L001_R2_001.fastq.gz	CLL_05-599_S134_L001	EALAQNJO
CLL_05-599_S135_L006_R1_001.fastq.gz	CLL_05-599_S135_L006_R2_001.fastq.gz	CLL_05-599_S135_L006	TBQLICCJ
CLL_05-599_S135_L007_R1_001.fastq.gz	CLL_05-599_S135_L007_R2_001.fastq.gz	CLL_05-599_S135_L007	XRWTRWNQ
CLL_05-599_S137_L001_R1_001.fastq.gz	CLL_05-599_S137_L001_R2_001.fastq.gz	CLL_05-599_S137_L001	KADVDBOY
CLL_05-599_S137_L006_R1_001.fastq.gz	CLL_05-599_S137_L006_R2_001.fastq.gz	CLL_05-599_S137_L006	CDNGITWM
CLL_05-599_S13_L006_R1_001.fastq.gz	CLL_05-599_S13_L006_R2_001.fastq.gz	CLL_05-599_S13_L006	BBNQFCJL
CLL_05-599_S13_L007_R1_001.fastq.gz	CLL_05-599_S13_L007_R2_001.fastq.gz	CLL_05-599_S13_L007	ORQGRIEM
CLL_05-599_S145_L007_R1_001.fastq.gz	CLL_05-599_S145_L007_R2_001.fastq.gz	CLL_05-599_S145_L007	YBYMUDSK
CLL_05-599_S146_L001_R1_001.fastq.gz	CLL_05-599_S146_L001_R2_001.fastq.gz	CLL_05-599_S146_L001	DSXLDOLW
CLL_05-599_S146_L006_R1_001.fastq.gz	CLL_05-599_S146_L006_R2_001.fastq.gz	CLL_05-599_S146_L006	SHKNXCTN
CLL_05-599_S148_L007_R1_001.fastq.gz	CLL_05-599_S148_L007_R2_001.fastq.gz	CLL_05-599_S148_L007	OEXZZMPE
CLL_05-599_S14_L006_R1_001.fastq.gz	CLL_05-599_S14_L006_R2_001.fastq.gz	CLL_05-599_S14_L006	KOMAXCFR
CLL_05-599_S150_L001_R1_001.fastq.gz	CLL_05-599_S150_L001_R2_001.fastq.gz	CLL_05-599_S150_L001	GOTQSPGE
CLL_05-599_S151_L001_R1_001.fastq.gz	CLL_05-599_S151_L001_R2_001.fastq.gz	CLL_05-599_S151_L001	STRQVLJR
CLL_05-599_S151_L006_R1_001.fastq.gz	CLL_05-599_S151_L006_R2_001.fastq.gz	CLL_05-599_S151_L006	ZTTUFNPT
CLL_05-599_S152_L001_R1_001.fastq.gz	CLL_05-599_S152_L001_R2_001.fastq.gz	CLL_05-599_S152_L001	LJIOTEED
CLL_05-599_S153_L006_R1_001.fastq.gz	CLL_05-599_S153_L006_R2_001.fastq.gz	CLL_05-599_S153_L006	RJKDSPID
CLL_05-599_S154_L007_R1_001.fastq.gz	CLL_05-599_S154_L007_R2_001.fastq.gz	CLL_05-599_S154_L007	YPSTEHQE
