case;time_point2;total_n_cells_time_point;n_rt_cells;pct_rt_cells
19;T1_PB;330;75;22.727272727272727
19;T3_PB;2800;55;1.9642857142857142
19;T4_PB;1368;43;3.1432748538011697
19;T5_PB;955;47;4.9214659685863875
19;T6_PB;1831;1815;99.12616056799563
63;T1_LN;268;4;1.4925373134328357
63;T1_PB;250;3;1.2
63;T2_PB;253;7;2.7667984189723316
63;T3_LN;212;209;98.58490566037736
365;T2_PB;4119;0;0
365;T3_LN;566;562;99.29328621908127
3299;T1_BM;4246;7;0.16486104569006124
3299;T2_BM;1176;1125;95.66326530612244
3299;T3_BM;641;630;98.28393135725429
